Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
ARTS 180.03i,UV1,ART AS INQUIRY: ART OF THE CROWD,3,"W 1100-1400
(FULLY ONSITE)",INNOVATION 201,"VAN DER WALL, Hidde Tjakke",25,ENG,U,25,*For advised and pre-enlisted AB Hum students.,N,N
ARTS 180.03i,YW,ART AS INQUIRY: ART OF THE CROWD,3,"W 1700-2000
(FULLY ONSITE)",INNOVATION 201,"VAN DER WALL, Hidde Tjakke",25,ENG,U,25,24 SLOT(S) FOR FA STUDENTS. 1 SLOT(S) FOR AB IS MAJORS.,N,N
ARTS 180.08i,YYY,ART AS INQUIRY: ART OF THE DOMESTIC,3,"TBA
(FULLY ONSITE)",INNOVATION 201,"VAN DER WALL, Hidde Tjakke",25,ENG,U,25,-,N,N
BIO 21i,M,THE BIOLOGY OF SCIENCE FICTION,3,"T-F 1230-1400
(FULLY ONSITE)",CTC 216,"CRUZ, RONALD ALLAN L., ELICANO, ANTONIO RAFAEL N.",30,ENG,U,30,-,N,N
BIO 151i,C,TRENDS AND ISSUES IN BIODIVERSITY,3,"M-TH 1100-1230
(FULLY ONSITE)",SEC-A201A,"CRUZ, RONALD ALLAN L.",10,ENG,U,10,ALL SLOTS FOR BS LfSci MAJORS. ALL SLOTS FOR BS BIO MAJORS.,N,N
BIO 156i,M,ATTAINING A SUSTAINABLE FUTURE WITH BIORESOURCES,3,"T-F 1230-1400
(FULLY ONSITE)",SEC-A116,"RAGAZA, JANICE A.",30,ENG,U,30,-,N,N
BIO 183.1i,M,BIOETHICS: HISTORICAL PERSPECTIVES,3,"T-F 1230-1400
(FULLY ONSITE)",SEC-A117,"CABALQUINTO, Alvin, DE GUZMAN, Ivan Adrian",30,ENG,U,30,-,N,N
CSCI 117i,ITH,DATA VISUALIZATION,3,"TH 1800-2100
(FULLY ONSITE)",CTC 215,"MAGPANTAY, Abraham",30,ENG,U,30,ALL SLOTS FOR DATA SCIENCE AND ANALYTICS SPECIALIZATION.,N,N
CSCI 117i,ST2,DATA VISUALIZATION,3,"SAT 0800-1100
(FULLY ONSITE)",F-227,"TEE, HANNAH ELYSE U.",25,ENG,U,25,ALL SLOTS FOR DATA SCIENCE AND ANALYTICS SPECIALIZATION.,N,N
CSCI 117i,UV2,DATA VISUALIZATION,3,"SAT 1100-1400
(FULLY ONSITE)",F-227,"ANGELES, Miguelito Moses",30,ENG,U,30,ALL SLOTS FOR DATA SCIENCE AND ANALYTICS SPECIALIZATION.,N,N
